asset_id,asset_name,category,scenario_group,unit_mass_kg,unit_volume_m3,quantity_fixed,quantity_per_crew,quantity_per_habitat,quantity_per_power_unit,quantity_per_ISRU_unit,power_peak_kw,power_continuous_kw,duty_cycle,energy_kWh_per_sol,storage_capacity_kg,production_resource_type,production_kg_per_sol,lifetime_sols,spares_percent_per_year,redundancy_minimum,minimum_quantity_before_crew,can_arrive_after_crew,prerequisite_asset_ids,dependency_type,source_class,source_note,confidence,notes,power_output_kw,energy_capacity_kWh,battery_specific_energy_kWh_per_kg,cable_specific_mass_kg_per_km_per_kw,cable_length_km,criticality
o2fr_pilot_plant,O2fR pilot plant,ISRU,thrive,1000,8.0,0.0,0.0,0.0,0.0,0.0,40,40,1.0,0.0,0.0,oxygen,15.6,3000,0.1,0.0,0,True,shelter;comms_system;regolith_excavator_rover;power_cable,mixed,legacy_lunar_analog_placeholder,Power slide 12 in legacy quick-look study,low,Oxygen-from-regolith pilot plant; lunar analog placeholder.,0.0,0.0,0.0,0.0,0.0,important
science_payload,Science mission payload,science,science,100,1.0,1,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,,0.0,5000.0,0.05,0.0,0.0,True,shelter;comms_system,prior,legacy_lunar_analog_placeholder,,low,Science instruments; lunar analog placeholder.,0.0,0.0,0.0,0.0,0.0,optional
vsat_power_unit,VSAT / power unit analog,power,survival,700,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,5000.0,0.05,0.0,1,False,power_cable,same_or_prior,legacy_lunar_analog_placeholder,Legacy sheet treated VSAT as producing 50 kW,low,"Power-system analog, not necessarily a Mars power architecture.",50,0.0,0.0,0.0,0.0,critical
battery_module,Battery module,energy_storage,survival,45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5000.0,0.05,0.0,1,False,vsat_power_unit,same_or_prior,legacy_lunar_analog_placeholder,200 Wh/kg; legacy note said Fuel Cell,low,Battery/storage module placeholder.,0.0,9,0.2,0.0,0.0,critical
power_cable,Power cable,power_distribution,survival,432.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5000.0,0.05,0.0,1,False,,,legacy_lunar_analog_placeholder,"Mission-set sheet used 1,730.4 kg total for 4 cables, or 432.6 kg each. Quick-look row listed 40 kg for 0.5 km at 10 kW. Both notes preserved; sizing is formula-driven.",low,mass = kg_per_km_per_kw * length_km * transmitted_kw (not hard-coded).,0.0,0.0,0.0,8,0.5,critical
shelter,Shelter / habitat analog,habitat,survival,1700,30.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,0.0,0.0,,0.0,5000.0,0.05,0.0,2,False,shelter_assembly_system;cargo_handling_rover_heavy,same_or_prior,legacy_lunar_analog_placeholder,Legacy shelter line item,low,Lunar shelter analog; not a Mars habitat mass estimate.,0.0,0.0,0.0,0.0,0.0,critical
shelter_assembly_system,Shelter assembly system,construction,exploration,747,6.0,1,0.0,0.0,0.0,0.0,1,0.25,0.25,0.0,0.0,,0.0,5000.0,0.05,0.0,1,True,,,legacy_lunar_analog_placeholder,,low,"Legacy bundle: LSMS, survey rover, command/monitoring suite, LDRS truss, truss robot.",0.0,0.0,0.0,0.0,0.0,important
comms_system,Comms system,communications,survival,300,2.0,1,0.0,0.0,0.0,0.0,0.15,0.15,1.0,0.0,0.0,,0.0,5000.0,0.05,0.0,1,False,vsat_power_unit,same_or_prior,legacy_lunar_analog_placeholder,,low,Legacy note said mass and power need refinement.,0.0,0.0,0.0,0.0,0.0,critical
regolith_excavator_rover,Regolith Excavator Rover,mobility_excavation,thrive,66,0.5,1,0.0,0.0,0.0,0.0,10,2.5,0.25,0.0,0.0,regolith,2700,5000.0,0.05,0.0,0.0,True,,,legacy_lunar_analog_placeholder,,low,Legacy RASSOR 2.0 analog.,0.0,0.0,0.0,0.0,0.0,important
cargo_handling_rover_light,Cargo Handling Rover - Light,mobility_logistics,exploration,250,2.0,1,0.0,0.0,0.0,0.0,10,2.5,0.25,0.0,0.0,,0.0,5000.0,0.05,0.0,0.0,True,,,legacy_lunar_analog_placeholder,,low,Legacy HL-MAPP analog.,0.0,0.0,0.0,0.0,0.0,important
cargo_handling_rover_heavy,Cargo Handling Rover - Heavy,mobility_logistics,survival,1500,6.0,1,0.0,0.0,0.0,0.0,20,5,0.25,0.0,0.0,,0.0,5000.0,0.05,0.0,1,False,,,legacy_lunar_analog_placeholder,,low,Legacy sheet said mass is a guess; intended for payloads > 200 kg.,0.0,0.0,0.0,0.0,0.0,critical
highly_dexterous_rover,Highly Dexterous Rover,mobility_robotics,exploration,300,2.0,1,0.0,0.0,0.0,0.0,10,2.5,0.25,0.0,0.0,,0.0,5000.0,0.05,0.0,0.0,True,,,legacy_lunar_analog_placeholder,,low,Dexterous manipulation rover analog.,0.0,0.0,0.0,0.0,0.0,important
regolith_construction_rover,Regolith Construction Rover,construction,thrive,66,0.5,1,0.0,0.0,0.0,0.0,10,2.5,0.25,0.0,0.0,,0.0,5000.0,0.05,0.0,0.0,True,,,legacy_lunar_analog_placeholder,,low,Mass editable placeholder (legacy 66 or 300 kg). Appeared in day-power calc but not consistently in total mass.,0.0,0.0,0.0,0.0,0.0,optional
